song,artist,genre,year,nrgy,dnce,dB,live,val,acous,spch,pop,lyrics
Blinding Lights,The Weeknd, Pop,2020,73,51,-6,1,33,1,1,92,"Yeah
I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby
I look around and
Sin City's cold and empty (oh)
No one's around to judge me (oh)
I can't see clearly when you're gone
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
(Hey, hey, hey)
I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
The city's cold and empty (oh)
No one's around to judge me (oh)
I can't see clearly when you're gone
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
I'm just walking by to let you know (by to let you know)
I can never say it on the phone (say it on the phone)
Will never let you go this time (ooh)
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
(Hey, hey, hey)
I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch"
cardigan,Taylor Swift, Pop,2020,58,61,-9,25,55,54,1,79,"Vintage tee, brand new phone
High heels on cobblestones
When you are young, they assume you know nothing
Sequin smile, black lipstick
Sensual politics
When you are young, they assume you know nothing
But I knew you
Dancin' in your Levi's
Drunk under a streetlight, I
I knew you
Hand under my sweatshirt
Baby, kiss it better, I
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite
A friend to all is a friend to none
Chase two girls, lose the one
When you are young, they assume you know nothin'
But I knew you
Playing hide-and-seek and
Giving me your weekends, I
I knew you
Your heartbeat on the High Line
Once in 20 lifetimes, I
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite
To kiss in cars and downtown bars
Was all we needed
You drew stars around my scars
But now I'm bleedin'
'Cause I knew you
Steppin' on the last train
Marked me like a bloodstain, I
I knew you
Tried to change the ending
Peter losing Wendy, I
I knew you
Leavin' like a father
Running like water, I
And when you are young, they assume you know nothing
But I knew you'd linger like a tattoo kiss
I knew you'd haunt all of my what-ifs
The smell of smoke would hang around this long
'Cause I knew everything when I was young
I knew I'd curse you for the longest time
Chasin' shadows in the grocery line
I knew you'd miss me once the thrill expired
And you'd be standin' in my front porch light
And I knew you'd come back to me
You'd come back to me
And you'd come back to me
And you'd come back
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite"
positions,Ariana Grande, Pop/R&B,2020,80,74,-5,1,68,47,1,86,"Heaven sent you to me
I'm just hopin' I don't repeat history
Boy, I'm tryna meet your mama on a Sunday
Then make a lotta love on a Monday (ah-ah)
Never need no (no), no one else, babe
'Cause I'll be
Switchin' the positions for you
Cookin' in the kitchen, and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do
That I won't do, switchin' for y-
Perfect, perfect
You're too good to be true (you're too good to be true)
But I get tired of runnin'
Fuck it, now I'm runnin' with you (wit' you)
Said, boy, I'm tryna meet your mama on a Sunday
Then make a lotta love on a Monday (ah-ah)
Never need no (no), no one else, babе
'Cause I'll be
Switchin' the positions for you (for you, ah)
Cookin' in thе kitchen, and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do
That I won't do, switchin' for you
Cookin' in the kitchen, and I'm in the bedroom (bedroom)
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do
That I won't do, switchin' for you
This some shit that I usually don't do (yeah)
But for you, I kinda, kinda want to
'Cause you're down for me, and I'm down too (and I'm down too)
Yeah, I'm down too, switching the positions for you
This some shit that I (yeah) usually don't do (don't do)
But for you, I kinda, kinda want to
'Cause you're down for me, and I'm down too
Switchin' the positions for you
Cookin' in the kitchen, and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops (to you, to you)
Know my love infinite, nothin' I wouldn't do (do)
That I won't do, switchin' for you
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do
That I won't do, switchin' for you
Yeah
Ah, yeah
Ah (ah), yeah"
ROXANNE,Arizona Zervas, Rap/Pop,2020,60,62,-6,46,46,1,15,82,"All for the gram
Bitches love the gram
Oh wait shit
Roxanne
Roxanne
All she wanna do is party all night
Goddamn, Roxanne
Never gonna love me but it's alright
She think I'm a asshole
She think I'm a player
She keep running back though
Only cause I pay up
Roxanne
Roxanne
All she wanna do is party all night
Met her at a party in the hills, yeah
She just wanna do it for the thrill, yeah
Shorty drive a poodle with no top
But if I throw this money she gon' drop
She don't wait in lines if it's too long
She don't drive the whip unless the roof off
Only want to call when the cash out
Only take the pic when her ass out
She from Malibu, Malibu
If you ain't gotta foreign then she laugh at you
Malibu, Malibu
Spending daddy's money with an attitude
Roxanne
Roxanne
All she wanna do is party all night
Goddamn, Roxanne
Never gonna love me but it's alright
She think I'm a asshole
She think I'm a player
She keep running back though
Only cause I pay up
Roxanne
Roxanne
All she wanna do is party all night
I just wanna have fun!
In LA, yeah
Got no brakes, yeah
Living fast, Ricky Bobby shaking bake, yeah
See the chain? Yeah
It's a lake, yeah
Swipe the chase, ooh
Now she wanna date, yeah
Straight to Nobu
On the coast ooh
Shorty only like cocaine and whole foods
Yeah snappin' all up on the gram
Ass going crazy
Now she wanna fuck me in the foreign going 80
Up in Malibu, Malibu
If you ain't gotta foreign then she laugh at you
Malibu, Malibu
Spending daddy's money with an attitude
Roxanne
Roxanne
All she wanna do is party all night
Goddamn, Roxanne
Never gonna love me but it's alright
She think I'm a asshole
She think I'm a player
She keep running back though
Only cause I pay up
Roxanne
Roxanne
All she wanna do is party all night"
The Box,Roddy Ricch, Rap/Hip-Hop,2020,59,90,-7,79,64,19,1,84,"Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in a box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know, where you at, at?
I was out back, where the stash at?
Cruise the city in a bulletproof Cadillac (skrrt)
'Cause I know these niggas after where the bag at (yeah)
Gotta move smarter, gotta move harder
Niggas try to get me for my water
I'll lay his ass down on my son, or my daughter
I had the Draco with me, Dwayne Carter
Lotta niggas out here playin', ain't ballin'
I done out my whole arm in the rim, Vince Carter (yeah)
And I know probably get a key for the quarter
Shawty barely seen in double C's, I bought 'em
Got a bitch that's looking like Aaliyah, she a model
I got the pink slip, all my whips is key-less
Compton, I'm about to get the key to the city
Patek like the sea, forgive me
Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in a box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked that nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know, where you at, at? Huh
Ha-ha-ha, I been movin' 'em out
If Steelo with me, then he got the blues in the pouch (yeah)
Took her to the forrest, put wood in her mouth
Bitch don't wear no shoes in my house
The private I'm flyin' in, I never wanna fly again
I'll take my chances in traffic (yeah)
She suckin' on dick, no hands with it
I just made the Rollie plain like a landing-strip
I'm a 2020 president candidate
I done put a hundred bands on Zimmerman, shit
I been movin' real gangsta', so that's why she pick a Crip
Shawty call me Crisco, 'cause I pop my shit
Got it out the mud, there's nothin' you can tell me, yeah
When I had the drugs, I was street-wealthy, yeah
Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in a box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know, where you at, at?"
Watermelon Sugar,Harry Styles, Pop/Rock,2020,82,55,-4,34,56,12,1,90,"Tastes like strawberries
On a summer evenin'
And it sounds just like a song
I want more berries
And that summer feelin'
It's so wonderful and warm
Breathe me in
Breathe me out
I don't know if I could ever go without
I'm just thinking out loud
I don't know if I could ever go without
Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar high
Watermelon sugar
Strawberries
On a summer evenin'
Baby, you're the end of June
I want your belly
And that summer feelin'
Getting washed away in you
Breathe me in
Breathe me out
I don't know if I could ever go without
Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar high
Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar high
I just wanna taste it
I just wanna taste it
Watermelon sugar high
Tastes like strawberries
On a summer evenin'
And it sounds just like a song
I want your belly
And that summer feelin'
I don't know if I could ever go without
Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar (sugar)
High
Watermelon sugar high (sugar)
Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar
High
Watermelon sugar high
I just wanna taste it
I just wanna taste it
Watermelon sugar high
I just wanna taste it
I just wanna taste it
Watermelon sugar high
Watermelon sugar"
Blueberry Faygo,Lil Mosey, Rap/Hip-Hop,2020,55,77,-8,13,35,21,1,79,"One bad bitch, and she do what I say so
Two big .40s and a big ass Draco (two, boom, boom)
Three more millions when you ask how my day go
Poured up a 4, now that's blueberry Faygo
One false move, and we straight to shooting shit
Two small bands just to take you out real quick (bands)
Three more hoes, pull up, I'm fucking shit
That's how it go, big bands, I'm thumbin' shit (that's how it goes)
One bad bitch, and she do what I say so (yeah, gang)
Two big .40s and a big ass Draco (two)
Three more millions when you ask how my day go
Poured up a 4, now that's blueberry Faygo
One false move, and we straight to shooting shit
Two small bands just to take you out real quick (bands)
Three more hoes, pull up, I'm fucking shit
That's how it go, big bands, I'm thumbin' shit
I'm with my niggas yeah, we some rockstars
And I'm with my nigga yeah, KK Wokhardt (KK Wokhardt)
This not my dick, lil' bitch, my Glock hard (lil' bitch)
Straight to the cash, I'm a trapstar (cash)
Straight to the bag, I'm that nigga, huh (bag, oh)
Got me some gas, rollin' up some
Fft, fft, cash, yeah, I got me some
I ain't fucked her yesterday (yeah)
I'ma fuck some
One bad bitch, and she do what I say so (one, gang)
Two big .40s and a big ass Draco (two, boom, boom)
Three more millions when you ask how my day go
Poured up a 4, now that's blueberry Faygo
One false move, and we straight to shooting shit
Two small bands just to take you out real quick (bands)
Three more hoes, pull up, I'm fucking shit (three more, gang)
That's how it go, big bands, I'm thumbin' shit (that's how it goes)
3-0 clip in my Nina (oh, oh)
On my toes, Gucci, Valentino (yeah, bitch)
She on go, your bitch fuck the team, uh (lil' bitch)
'Cause you know your bitch want a winner (winner)
I just went back to my city (to my city)
And you know they all fuckin' with me (big hands)
But it ain't safe, hoes with me (hoes)
I'ma chase bands 'til they end me
One bad bitch, and she do what I say so (one, gang)
Two big .40s and a big ass Draco (two, boom, boom)
Three more millions when you ask how my day go
Poured up a 4, now that's blueberry Faygo
One false move, and we straight to shooting shit
Two small bands just to take you out real quick (bands)
Three more hoes, pull up, I'm fucking shit (three more, gang)
That's how it go, big bands, I'm thumbin' shit (that's how it goes)
One bad bitch, and she do what I say so (yeah, gang)
Two big .40s and a big ass Draco (two)
Three more millions when you ask how my day go
Poured up a 4, now that's blueberry Faygo
One false move, and we straight to shooting shit
Two small bands just to take you out real quick (bands)
Three more hoes, pull up, I'm fucking shit (three, yeah)
That's how it go, big bands, I'm thumbin' shit (yeah"
Toosie Slide,Drake, Rap/Pop,2020,45,83,-10,11,84,32,20,78,"Black leather gloves, no sequins
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece in it
Got a dance, but it's really on some street shit
I'ma show you how to get it
It go, right foot up, left foot slide
Left foot up, right foot slide
Basically, I'm saying either way, we 'bout to slide, ayy
Can't let this one slide, ayy
Don't you wanna dance with me? No?
I could dance like Michael Jackson
I could give you thug passion
It's a Thriller in the trap where we from
Baby, don't you want to dance with me? No?
I could dance like Michael Jackson
I could give you satisfaction
And you know we out here everyday with it
I'ma show you how to get it
It go, right foot up, left foot slide
Left foot up, right foot slide
Basically, I'm saying either way, we 'bout to slide, ayy
Can't let this one slide, ayy (who's bad?)
Two thousand shorties wanna tie the knot, ayy, yeah
Two hundred shooters on my brother's block, whoa, yeah
Petal off a rose like, I love her not, maybe not
I don't know what's wrong with me, I can't stop, whoa, yeah
Won't stop, whoa, yeah, never stop
Got so many opps, I be mistakin' opps for other opps
Got so many people that I love out of troubled spots
Other than the family I got, it's either you or me
That's just how I think, it's either you or me
This life got too deep for you, baby
Two or three of us about to creep where they stayin'
Black leather gloves, no sequins
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece in it
Got a dance, but it's really on some street shit
I'ma show you how to get it
It go, right foot up, left foot slide
Left foot up, right foot slide
Basically, I'm sayin' either way, we 'bout to slide, ayy
Can't let this one slide, ayy (who's bad?)
Toosie slide, then I hit it double time
Then I hit a spin 'cause we spun their block a couple times
If it's not the right time, there'll always be another time
I'm not even trippin', we'll just see 'em in the summertime, whoa, yeah
Can't describe the pressure I be puttin' on myself, yeah
Really I just can't afford to lose nobody else, yeah
If they movin' shaky, we'll just do this shit ourselves, whoa
If I'm movin' shaky, Chubbs'll do this shit himself, yeah
Solo niggas, on they YOLO, for real
Heard a lot about you, but we don't know for real
Next time, guarantee the truth'll get revealed
Black leather gloves, no sequins, yeah
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece in it
Got a dance, but it's really on some street shit
I'ma show you how
It go, right foot up, left foot slide
Left foot up, right foot slide
Basically, I'm saying either way, we 'bout to slide, ayy
Can't let this one slide, ayy
Don't you wanna dance with me? No?
I could dance like Michael Jackson (Jackson)
I could give you thug passion (passion)
It's a Thriller in the trap where we from (where we from)
Baby, don't you want to dance with me? No?
I could dance like Michael Jackson (Jackson)
I could give you satisfaction ('faction)
And you know we out here everyday with it
I'ma show you how to get it
It go, right foot up, left foot slide
Left foot up, right foot slide
Basically, I'm sayin' either way, we 'bout to slide
(Who's bad?)"
Party Girl,StaySolidRocky, Rap/Pop,2020,43,73,-10,1,63,75,1,77,"Girls just wanna have fun
So they party, so they party
Ay-yo Nashi, you go crazy!
Lil' mama, a party girl
She just wan' have fun, too
They say you ain't wifey type
But I don't care, I want you
She like to do drugs, too
She in love with guns, too
They say you too piped up
But I think that I love you
Lil' mama, a party girl
She just wan' have fun, too
They say you ain't wifey type
But I don't care, I want you
She like to do drugs, too
She in love with guns, too
They say you too piped up
But I think that I love you
She don't want nobody
She don't need somebody
I'm tryna be wit' you so you don't be without me
She told 'em just like me, no we can't leave without it
She boo'd up off the meth like she can't breathe without it
She drinkin' Four Lokos, I can't get with those
She wan' gimme throat though, I tell her, ""Come close""
She say, ""You say you love me, but I don't know what love means""
I ask her who got her heart 'cause damn that nigga lucky
I been tryna reach for it, but it's too far above me
I ain't never do you wrong, so tell me why you don't trust me
She don't do this often, she said, ""It's only because of me""
You the one who want it, therefore you can never judge me
She just wanna party, and nothing's wrong with that
Everytime I'm calling, she say she gon' call me back
I told her, ""Call me Rocky""
She say she not gon' call me that
You say you come with a lot, well baby I want all of that
Lil' mama, a party girl
She just wan' have fun, too
They say you ain't wifey type
But I don't care, I want you
She like to do drugs, too
She in love with guns, too
They say you too piped up
But I think that I love you
Lil' mama, a party girl
She just wan' have fun, too
They say you ain't wifey type
But I don't care, I want you
She like to do drugs, too
She in love with guns, too
They say you too piped up
But I think that I love you
Oh-oh, don't be scared to party
Don't be scared to party
Oh-oh, don't be scared to party, oh-oh"
WAP (feat. Megan Thee Stallion),Cardi B, Rap/Hip-Hop,2020,45,94,-8,1,36,1,38,84,"Whores in this house
There's some whores in this house
There's some whores in this house
There's some whores in this house (hol' up)
I said certified freak, seven days a week
Wet ass pussy, make that pullout game weak, woo! (Ah)
Yeah, yeah, yeah, yeah
Yeah, you fucking with some wet ass pussy
Bring a bucket and a mop for this wet ass pussy
Give me everything you got for this wet ass pussy
Beat it up, nigga, catch a charge
Extra large, and extra hard
Put this pussy right in yo' face
Swipe your nose like a credit card
Hop on top, I want a ride
I do a kegel while it's inside
Spit in my mouth, look at my eyes
This pussy is wet, come take a dive
Tie me up like I'm surprised
Let's role-play, I wear a disguise
I want you to park that big Mack truck right in this little garage
Make it cream, make me scream
Out in public, make a scene
I don't cook, I don't clean
But let me tell you, I got this ring (ayy, ayy)
Gobble me, swallow me, drip down the side of me (yeah)
Quick, jump out 'fore you let it get inside of me (yeah)
I tell him where to put it, never tell him where I'm 'bout to be
I run down on him 'fore I have a nigga running me
Talk yo' shit, bite your lip
Ask for a car while you ride that dick (while you ride that dick)
You ain't never gotta fuck him for a thing
He already made his mind up 'fore he came
Now get your boots and your coat for this wet ass pussy
He bought a phone just for pictures of this wet ass pussy
Pay my tuition just to kiss me on this wet ass pussy
Now make it rain if you wanna see some wet ass pussy
Look, I need a hard hitter, I need a deep stroke
I need a Henny drink, I need a weed smoker
Not a garden snake, I need a king cobra
With a hook in it, hope it lean over
He got some money, then that's where I'm headed
Pussy A-1, just like his credit
He got a beard, well, I'm tryna wet it
I let him taste it, and now he diabetic
I don't wanna spit, I wanna gulp
I wanna gag, I wanna choke
I want you to touch that lil' dangly thing that swing in the back of my throat
My head game is fire, punani Dasani
It's going in dry, and it's coming out soggy
I ride on that thing like the cops is behind me (yuh, ah)
I spit on his mic' and now he tryna sign me, woo
Your honor, I'm a freak bitch, handcuffs, leashes
Switch my wig, make him feel like he cheating
Put him on his knees, give him some' to believe in
Never lost a fight, but I'm looking for a beating
In the food chain, I'm the one that eat ya
If he ate my ass, he's a bottom feeder
Big D stand for big demeanor
I could make ya bust before I ever meet ya
If it don't hang, then he can't bang
You can't hurt my feelings, but I like pain
If he fuck me and ask, ""Whose is it?""
When I ride the dick, I'ma spell my name, ah
Yeah, yeah, yeah
Yeah, you fucking with some wet ass pussy
Bring a bucket and a mop for this wet ass pussy
Give me everything you got for this wet ass pussy
Now from the top, make it drop, that's some wet ass pussy
Now get a bucket and a mop, that's some wet ass pussy
I'm talking WAP, WAP, WAP, that's some wet ass pussy
Macaroni in a pot, that's some wet ass pussy, huh
There's some whores in this house
There's some whores in this house
There's some whores in this house
There's some whores in this house
There's some whores in this house
There's some whores in this house
There's some whores in this house
There's some whores in this house
There's some whores in this house
There's some whores in this house
There's some whores in this house
There's some whores-"
What You Know Bout Love,Pop Smoke, Rap/Hip-Hop,2020,55,71,-8,13,54,65,35,85,"Uh
Shawty go jogging every morning (every morning)
And she make me breakfast almost every morning (every morning)
And she take a naked pic' before she leave the door
I be waking up to pics' before a nigga yawning
And every weekend my shawty comin' over (over)
Shawty could Fendi out, but she like Fashion Nova (Nova)
She ain't driving no Camry, she pullin' in a Rover (Rover)
With her hair so curly, I love you, baby
She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (oh)
Walk up in the store and get what you want (go get it)
You get what you please
We 'bout to get it on, take off them drawers (I said I love you, baby)
It's just you and me
You know what I be on, I'm about to go raw (love you, baby)
'Cause I like what I see
Look, baby, I said I ain't gon' front
You got my heart beating so fast to words I can't pronounce
And I be getting the chills every time I feel your touch
I be looking at the top and girl, it's only us
All I need is your trust
And girl I told you once, don't make me tell you twice
I know you see this print through my pants that I know you like
And yo' ass be looking so fat when it be in them tights
And I'm going straight to the top, so hope you ain't afraid of heights
You always treat me right, for a fact, you never left
Through all the trials and tribulations, always had my best
So here's 55 hunnid, go and get your breasts
Start rubbin' on your butt, start kissing on yo' neck
Hey batter, batter, hey batter, batter
Niggas know I had to swing, I had to make a play
I had to apply the pressure, 'cause you my hidden treasure
I think I'm falling in love
She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (oh)
Walk up in the store and get what you want (go get it)
You get what you please
We 'bout to get it on, take off them drawers (I said I love you, baby)
It's just you and me
You know what I be on, I'm about to go raw (love you, baby)
'Cause I like what I see (oh)"
august,Taylor Swift, Pop,2020,62,53,-9,1,40,54,1,76,"Salt air, and the rust on your door
I never needed anything more
Whispers of ""Are you sure?""
""Never have I ever before""
But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine
Your back beneath the sun
Wishin' I could write my name on it
Will you call when you're back at school?
I remember thinkin' I had you
But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine
Back when we were still changin' for the better
Wanting was enough
For me, it was enough
To live for the hope of it all
Cancel plans just in case you'd call
And say, ""Meet me behind the mall""
So much for summer love and saying ""us""
'Cause you weren't mine to lose
You weren't mine to lose, no
But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine
'Cause you were never mine, never mine
But do you remember?
Remember when I pulled up and said, ""Get in the car""
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all, for the hope of it all
""Meet me behind the mall""
Remember when I pulled up and said, ""Get in the car""
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all (for the hope of it all)
For the hope of it all
For the hope of it all
(For the hope of it all)
(For the hope of it all)"
Memories,Maroon 5, Pop/Rock,2020,33,78,-7,1,60,84,1,85,"Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you
There's a time that I remember, when I did not know no pain
When I believed in forever, and everything would stay the same
Now my heart feel like December when somebody say your name
'Cause I can't reach out to call you, but I know I will one day, yeah
Everybody hurts sometimes
Everybody hurts someday, ayy ayy
But everything gon' be alright
Go and raise a glass and say, ayy
Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you
Doo doo, doo doo doo doo
Doo doo doo doo, doo doo doo doo
Doo doo doo doo, doo doo doo
Memories bring back, memories bring back you
There's a time that I remember when I never felt so lost
When I felt all of the hatred was too powerful to stop (ooh, yeah)
Now my heart feel like an ember and it's lighting up the dark
I'll carry these torches for ya that you know I'll never drop, yeah
Everybody hurts sometimes
Everybody hurts someday, ayy ayy
But everything gon' be alright
Go and raise a glass and say, ayy
Here's to the ones that we got (oh)
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through (no, no)
Toast to the ones here today (ayy)
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories (ayy)
And the memories bring back, memories bring back you
Doo doo, doo doo doo doo
Doo doo doo doo, doo doo doo doo
Doo doo doo doo, doo doo doo
Memories bring back, memories bring back you
Doo doo, doo doo doo doo
Doo doo doo doo, doo doo doo doo
Doo doo doo doo, doo doo doo (ooh, yeah)
Memories bring back, memories bring back you
Yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, doh, doh
Memories bring back, memories bring back you"
death bed (coffee for your head),"Powfu, beabadoobee", Pop,2020,43,73,-9,70,35,73,14,85,"Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed
Yeah, I don't wanna fall asleep, I don't wanna pass away
I been thinking of our future, 'cause I'll never see those days
I don't know why this has happened, but I probably deserve it
I tried to do my best, but you know that I'm not perfect
I been praying for forgiveness, you've been praying for my health
When I leave this Earth, hoping you'll find someone else
'Cause, yeah, we still young, there's so much we haven't done
Getting married, start a family, watch your husband with his son
I wish it could be me, but I won't make it out this bed
I hope I go to Heaven, so I see you once again
My life was kinda short, but I got so many blessings
Happy you were mine, it sucks that it's all ending
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed (yeah, ayy, ayy)
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed (ayy, yeah)
I'm happy that you here with me, I'm sorry if I tear up
When me and you were younger, you would always make me cheer up
Taking goofy videos and walking through the park
You would jump into my arms every time you heard a bark
Cuddle in your sheets, sing me sound asleep
And sneak out through your kitchen at exactly 1:03
Sundays, went to church, on Mondays, watched a movie
Soon you'll be alone, sorry that you have to lose me
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed"
Stuck with U (with Justin Bieber),Ariana Grande, Pop,2020,45,60,-7,38,54,22,1,84,"Mmm
Hey, yeah
(That's just for fun)
(What?)
I'm not one to stick around
One strike and you're out, baby
Don't care if I sound crazy
But you never let me down, no, no
That's why when the sun's up, I'm stayin'
Still layin' in your bed, singin'
Ooh, ooh, ooh, ooh
Got all this time on my hands
Might as well cancel our plans, yeah
I could stay here for a lifetime
So lock the door
And throw out the key
Can't fight this no more
It's just you and me
And there's nothing I, nothing I, I can do
I'm stuck with you, stuck with you, stuck with you
So go ahead and drive me insane
Baby, run your mouth
I still wouldn't change being stuck with you
Stuck with you, stuck with you
I'm stuck with you, stuck with you, stuck with you, baby
There's nowhere we need to be
No, no, no
I'ma get to know you better
Kinda hope we're here forever
There's nobody on these streets
If you told me that the world's ending
Ain't no other way that I could spend it
Oh, oh, oh, oh
Got all this time in my hands
Might as well cancel our plans (yeah)
I could stay here forever
So lock the door
And throw out the key
Can't fight this no more
It's just you and me
And there's nothing I, nothing I, I can do
I'm stuck with you, stuck with you, stuck with you
So go ahead and drive me insane
Baby, run your mouth
I still wouldn't change being stuck with you
Stuck with you, stuck with you
I'm stuck with you, stuck with you, stuck with you
Whoa, whoa, oh
Baby, come take all my time
Go on, make me lose my mind
We got all that we need here tonight
I lock the door (lock the door)
And throw out the key
Can't fight this no more (can't fight this no more)
It's just you and me
And there's nothing I, nothing I'd rather do
I'm stuck with you, stuck with you, stuck with you
So go ahead and drive me insane
Baby, run your mouth
I still wouldn't change
All this lovin' you, hatin' you, wantin' you
I'm stuck with you, stuck with you, stuck with
You, you
Stuck with you, stuck with you, stuck with you"
